No Tiket,Nama Service,SID,Produk,Bandwith,Tiket Open,Tiket Close,Stop Clock (Durasi),Durasi (Jam),Durasi (Menit),Penyebab,Action,Kategori Layanan,Unit PLN Pengguna,Jenis Gangguan,Detail Gangguan,Lokasi Gangguan,source_file,penyebab_norm,Lokasi_GI,Lokasi_POP,Lokasi_KM,Lokasi_Risiko,kategori_risiko,bulan
EM2EMUPZ,[UIP SUMBAGUT] UPP SBU 4 (TOBA SAMOSIR),4000206358,INTERNET CORPORATE,20Mbps,2024-02-16 11:20:00,2024-02-16 18:42:00,0.0,0 days 07:22:00,442.0000000053551,GANGGUAN PUTUS CORE DI JARAK 11.6 KM DARI POP  AEK.KANOPAN KE ARAH LASTMILE ACTION : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UIP SUMATERA BAGIAN UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: AEK KANOPAN | KM: 11.6,202402.xlsx,gangguan putus core di jarak 11 6 km dari pop aek kanopan ke arah lastmile action penyambungan core,,AEK KANOPAN,11.6,AEK KANOPAN,High,2024-02
EM2EMU34,[UIP SUMBAGUT] UPP SUMBAGUT 4 (TOBA SAMOSIR),1000130415,IP VPN,2Mbps,2024-02-16 11:20:00,2024-02-16 18:42:00,0.0,0 days 07:22:00,442.0000000053551,GANGGUAN PUTUS CORE DI JARAK 11.6 KM DARI POP  AEK.KANOPAN KE ARAH LASTMILE ACTION : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UIP SUMATERA BAGIAN UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: AEK KANOPAN | KM: 11.6,202402.xlsx,gangguan putus core di jarak 11 6 km dari pop aek kanopan ke arah lastmile action penyambungan core,,AEK KANOPAN,11.6,AEK KANOPAN,High,2024-02
EM2RYEUA,[UIP3BS - UPT PEMATANG SIANTAR] GI TANJUNG BALAI,1000155647,IP VPN,1Mbps,2024-02-17 09:58:00,2024-02-17 11:51:00,0.0,0 days 01:53:00,113.0000000016298,"GANGGUAN PUTUS CORE DIJARAK 1,7 KM DARI POP KISARAN KE ARAH LASTMILE ACTION : MANUVER CORE",MANUVER CORE,NON SCADA,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: KISARAN | KM: 1.7,202402.xlsx,gangguan putus core dijarak 1 7 km dari pop kisaran ke arah lastmile action manuver core,,KISARAN,1.7,KISARAN,High,2024-02
EM2RYEHE,[UID SUMUT - UP3 RANTAU PRAPAT] ULP TANJUNG BALAI,990000020276906,IP VPN,1Mbps,2024-02-17 09:58:00,2024-02-17 11:51:00,0.0,0 days 01:53:00,113.0000000016298,"GANGGUAN PUTUS CORE DIJARAK 1,7KM DARI POP KISARAN ACTION : PENYAMBUNGAN CORE",PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: KISARAN | KM: 1.7,202402.xlsx,gangguan putus core dijarak 1 7km dari pop kisaran action penyambungan core,,KISARAN,1.7,KISARAN,High,2024-02
EM2RYDPU,[UID SUMUT - UP3 PEMATANG SIANTAR] ULP PEMATANG RAYA,1000181795,IP VPN,1Mbps,2024-02-17 10:56:00,2024-02-17 13:06:00,0.0,0 days 02:10:00,129.99999999417923,GANGGUAN PUTUS KABEL FO DIJARAK 28 KM DARI ARAH POP PEMATANGSIANTAR. ACTION : PENYAMBUNGAN KABEL FO.,PENYAMBUNGAN KABEL,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: PEMATANGSIANTAR  | KM: 28,202402.xlsx,gangguan putus kabel fo dijarak 28 km dari arah pop pematangsiantar action penyambungan kabel fo,,PEMATANGSIANTAR ,28.0,PEMATANGSIANTAR ,Low,2024-02
EM2R3Z3X,[UID SUMUT - UP3 BUKIT BARISAN] ULP TIGA BINANGA,990000020276723,IP VPN,1Mbps,2024-02-18 09:11:00,2024-02-18 14:15:00,0.0,0 days 05:04:00,303.9999999955762,GANGGUAN UTP DI LASTMILE   ACTION : PERBAIKAN UTP WAKTU GANGGUAN MULAI TELAH DI UBAH DARI 2024-02-18 17:42 MENJADI 2024-02-18 09:11,PERBAIKAN UTP,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,LASTMILE,UNKNOWN,GI: - | POP: - | KM: -,202402.xlsx,gangguan utp di lastmile action perbaikan utp waktu gangguan mulai telah di ubah dari 2024 02 18 17 42 menjadi 2024 02 18 09 11,,,,,,2024-02
EM2RXKL9,[UID SUMUT - UP3 BINJAI] ULP KUALA,10000027240021,IP VPN,1Mbps,2024-02-20 14:18:00,2024-02-20 14:49:00,0.0,0 days 00:31:00,30.99999999627471,GANGGUAN PERANGKAT ROUTER DI SISI LASTMILE ACTION : RESTART PERANGKAT ROUTER,PERBAIKAN ROUTER,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,LASTMILE,UNKNOWN,GI: - | POP: - | KM: -,202402.xlsx,gangguan perangkat router di sisi lastmile action restart perangkat router,,,,,,2024-02
EM2RVEDB,[UID SUMUT - UP3 BINJAI] ULP KUALA,10000027240021,IP VPN,1Mbps,2024-02-20 20:23:00,2024-02-20 20:27:00,0.0,0 days 00:04:00,3.999999992083758,PENYEBAB : GANGGUAN SOFTWARE PADA PERANGKAT SWITCH DI SISI POP BINJAI  ACTION : PERBAIKAN SOFTWARE,PERBAIKAN SOFTWARE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PERANGKAT,UNKNOWN,GI: - | POP: BINJAI | KM: -,202402.xlsx,penyebab gangguan software pada perangkat switch di sisi pop binjai action perbaikan software,,BINJAI,,BINJAI,High,2024-02
EM2RVQ5Y,[UID SUMUT - UP3 BUKIT BARISAN] ULP PANCUR BATU,10000027240015,IP VPN,1Mbps,2024-02-20 20:17:00,2024-02-20 22:11:00,0.0,0 days 01:54:00,114.00000000488944,PENYEBAB : GANGGUAN PUTUS CORE DIJARAK 359 METER DARI POP KITSBU  ACTION : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: KITSBU | KM: -,202402.xlsx,penyebab gangguan putus core dijarak 359 meter dari pop kitsbu action penyambungan core,,KITSBU,,KITSBU,High,2024-02
EM2TQ42X,[UID SUMUT - UP2D] UP2D SUMUT - GH SIDIKALANG (SCADA),1000163200,METRONET,2Mbps,2024-02-21 16:34:00,2024-02-21 18:45:00,0.0,0 days 02:11:00,130.99999999743886,GANGGUAN MODUL SFP DI LASTMILE. ACTION : PERBAIKAN MODUL SFP.,PERBAIKAN SFP,SCADA NON REDUNDANT,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,LASTMILE,UNKNOWN,GI: - | POP: - | KM: -,202402.xlsx,gangguan modul sfp di lastmile action perbaikan modul sfp,,,,,,2024-02
EM2TWFRW,[UIP3BS - UPT MEDAN] GI NAMORAMBE (SCADA),990000020278465,IP VPN,1Mbps,2024-02-21 19:15:00,2024-02-21 21:35:00,0.0,0 days 02:20:00,139.9999999953434,GANGGUAN SOFTWARE DI SISI POP ODC PLN DELI TUA ACTION : PERBAIKAN SOFTWARE,PERBAIKAN SOFTWARE,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,PERANGKAT,UNKNOWN,GI: - | POP: - | KM: -,202402.xlsx,gangguan software di sisi pop odc pln deli tua action perbaikan software,,,,,,2024-02
EM2TJRRD,[UID SUMUT - UP3 BUKIT BARISAN] ULP TIGA BINANGA,990000020276723,IP VPN,1Mbps,2024-02-24 11:03:00,2024-02-24 13:51:00,0.0,0 days 02:48:00,167.9999999923166,"GANGGUAN PUTUS CORE DIJARAK 2,3 KM DARI ARAH LASTMILE ACTION : PENYAMBUNGAN CORE",PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: 2.3,202402.xlsx,gangguan putus core dijarak 2 3 km dari arah lastmile action penyambungan core,,,2.3,,,2024-02
EM2TB7MM,[UIP3BS - UPT PEMATANG SIANTAR] GI RANTAU PRAPAT (SCADA),990000320272601,IP VPN,2Mbps,2024-02-26 04:15:00,2024-02-26 12:42:00,0.0,0 days 08:27:00,506.999999997206,GANGGUAN PERANGKAT CONVERTER DI LASTMILE ACTION : PENGGANTIAN PERANGKAT CONVERTER,PENGGANTIAN CONVERTER,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,LASTMILE,UNKNOWN,GI: - | POP: - | KM: -,202402.xlsx,gangguan perangkat converter di lastmile action penggantian perangkat converter,,,,,,2024-02
EM2TBJ6D,[UIP3BS - UPT PEMATANG SIANTAR] GI RANTAU PRAPAT,990000320307842,IP VPN,2Mbps,2024-02-26 07:30:00,2024-02-26 13:05:00,0.0,0 days 05:35:00,335.0000000023283,GANGGUAN PERANGKAT CONVERTER DI LASTMILE   ACTION : PENGGANTIAN PERANGKAT CONVERTER,PENGGANTIAN CONVERTER,NON SCADA,PLN UNIT INDUK P3B SUMATERA,LASTMILE,UNKNOWN,GI: - | POP: - | KM: -,202402.xlsx,gangguan perangkat converter di lastmile action penggantian perangkat converter,,,,,,2024-02
EM2YQV6G,[UID SUMUT - UP2D] UP2D SUMUT - GH MABAR (SCADA) ,1000162941,METRONET,2Mbps,2024-02-26 15:57:00,2024-02-26 21:21:00,0.0,0 days 05:24:00,323.9999999979045,GANGGUAN PUTUS CORE DIJARAK 400 METER DARI LASTMILE ACTION : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,SCADA NON REDUNDANT,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202402.xlsx,gangguan putus core dijarak 400 meter dari lastmile action penyambungan core,,,,,,2024-02
EM2YDB95,[UIP SUMBAGUT] UPP SBU 4 (TOBA SAMOSIR),4000206358,INTERNET CORPORATE,20Mbps,2024-02-28 13:36:00,2024-02-28 16:49:00,0.0,0 days 03:13:00,193.0000000004657,GANGGUAN PUTUS KABEL FO DIJARAK 30 KM DARI POP   AEK.KANOPAN  ACTION : PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,NON SCADA,PLN UIP SUMATERA BAGIAN UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: AEK KANOPAN | KM: 30,202402.xlsx,gangguan putus kabel fo dijarak 30 km dari pop aek kanopan action penyambungan kabel fo,,AEK KANOPAN,30.0,AEK KANOPAN,High,2024-02
EM2YDBVE,[UIP SUMBAGUT] UPP SUMBAGUT 4 (TOBA SAMOSIR),1000130415,IP VPN,2Mbps,2024-02-28 13:36:00,2024-02-28 16:49:00,0.0,0 days 03:13:00,193.0000000004657,GANGGUAN PUTUS KABEL FO DIJARAK 30 KM DARI POP   AEK.KANOPAN  ACTION : PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,NON SCADA,PLN UIP SUMATERA BAGIAN UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: AEK KANOPAN | KM: 30,202402.xlsx,gangguan putus kabel fo dijarak 30 km dari pop aek kanopan action penyambungan kabel fo,,AEK KANOPAN,30.0,AEK KANOPAN,High,2024-02
EM2YFSZB,[UIP3BS - UPT MEDAN] GI SELAYANG,1000121367,IP VPN,1Mbps,2024-02-28 14:30:00,2024-02-28 17:46:00,0.0,0 days 03:16:00,195.9999999997672,GANGGUAN LOSS POWER DISISI POP SELAYANG ACTION : PERBAIKAN POWER,PERBAIKAN LOSS POWER,NON SCADA,PLN UNIT INDUK P3B SUMATERA,POWER,UNKNOWN,GI: - | POP: SELAYANG | KM: -,202402.xlsx,gangguan loss power disisi pop selayang action perbaikan power,,SELAYANG,,SELAYANG,Medium,2024-02
EM2YFCTG,[UIP3BS - UPT MEDAN] GI NAMORAMBE (SCADA),990000020278465,IP VPN,1Mbps,2024-02-28 15:41:00,2024-02-28 17:46:00,0.0,0 days 02:05:00,124.99999999883585,GANGGUAN LOSS POWER DI SISI POP SELAYANG ACTION :PERBAIKAN LOSS POWER,PERBAIKAN LOSS POWER,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,POWER,UNKNOWN,GI: - | POP: SELAYANG | KM: -,202402.xlsx,gangguan loss power di sisi pop selayang action perbaikan loss power,,SELAYANG,,SELAYANG,Medium,2024-02
EM2YFJMH,[UIP3BS - UPT MEDAN] GI NAMORAMBE,990000320307856,IP VPN,1Mbps,2024-02-28 15:11:00,2024-02-28 18:26:00,0.0,0 days 03:15:00,194.9999999965076,GANGGUAN LOSS POWER DISISI POP DELI.TUA ACTION  : PERBAIKAN LOSS,PERBAIKAN LOSS POWER,NON SCADA,PLN UNIT INDUK P3B SUMATERA,POWER,UNKNOWN,GI: - | POP: DELI TUA | KM: -,202402.xlsx,gangguan loss power disisi pop deli tua action perbaikan loss,,DELI TUA,,DELI TUA,High,2024-02
EM2Y69PB,[UID SUMUT - UP3 PADANG SIDEMPUAN] ULP NATAL,990000320314749,IP VPN,1Mbps,2024-02-29 10:32:00,2024-03-01 03:09:00,414.0,0 days 09:43:00,583.0000000018626,"GANGGUAN PUTUS KABEL FO DIJARAK 2,2 KM DARI POP NATAL DAN 18 KM DARI POP PANYABUNGAN. ACTION : PENYAMBUNGAN KABEL FO",PENYAMBUNGAN KABEL,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: PANYABUNGAN  | KM: 2.2,202403.xlsx,gangguan putus kabel fo dijarak 2 2 km dari pop natal dan 18 km dari pop panyabungan action penyambungan kabel fo,,PANYABUNGAN ,2.2,PANYABUNGAN ,High,2024-02
RQTXDZL5,[PUSDIKLAT] UPDL TUNTUNGAN,10000019240022,INTERNET CORPORATE,50Mbps,2024-03-01 13:47:00,2024-03-01 14:58:00,0.0,0 days 01:11:00,71.00000000093132,GANGGUAN PATCHCORD DISISI POP KITSBU ACTION : PENGGANTIAN PATCHCORD,PENGGANTIAN PATCH CORD,NON SCADA,PLN PUSAT PENDIDIKAN DAN PELATIHAN,PERANGKAT,UNKNOWN,GI: - | POP: KITSBU | KM: -,202403.xlsx,gangguan patchcord disisi pop kitsbu action penggantian patchcord,,KITSBU,,KITSBU,High,2024-03
RQTXDZ7V,[PUSDIKLAT] UPDL TUNTUNGAN DELI SERDANG SUMATERA UTARA,990000320278463,IP VPN,10Mbps,2024-03-01 13:47:00,2024-03-01 14:58:00,0.0,0 days 01:11:00,71.00000000093132,GANGGUAN PATCHCORD DISISI POP KITSBU ACTION : PENGGANTIAN PATCHCORD,PENGGANTIAN PATCH CORD,NON SCADA,PLN PUSAT PENDIDIKAN DAN PELATIHAN,PERANGKAT,UNKNOWN,GI: - | POP: KITSBU | KM: -,202403.xlsx,gangguan patchcord disisi pop kitsbu action penggantian patchcord,,KITSBU,,KITSBU,High,2024-03
RQTXJSG8,[UID SUMUT - UP3 BINJAI] ULP BINJAI TIMUR,10000027240018,IP VPN,1Mbps,2024-03-02 13:41:00,2024-03-02 17:07:00,0.0,0 days 03:26:00,205.999999990454,"GANGGUAN PUTUS KABEL FO DI JARAK 1,3 KM DARI LASTMILE ACTION : PENYAMBUNGAN KABEL FO",PENYAMBUNGAN KABEL,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: 1.3,202403.xlsx,gangguan putus kabel fo di jarak 1 3 km dari lastmile action penyambungan kabel fo,,,1.3,,,2024-03
RQTCQ54M,[UIP3BS - UPT MEDAN] GI PANGKALAN SUSU 275KV (SCADA),990000320363740,IP VPN,1Mbps,2024-03-04 20:00:00,2024-03-05 02:58:00,366.0,0 days 00:52:00,52.00000000046566,GANGGUAN PUTUS KABEL FO DI DI JARAK 12 KM DARI POP BRANDAN ACTION : BACKUP LINK GSM DI LASTMILE,BACKUP GSM,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: BRANDAN | KM: 12,202403.xlsx,gangguan putus kabel fo di di jarak 12 km dari pop brandan action backup link gsm di lastmile,,BRANDAN,12.0,BRANDAN,High,2024-03
RQTCECUX,[UID SUMUT - UP2D] UP2D SUMUT - GH SIDIKALANG (SCADA),1000163200,METRONET,2Mbps,2024-03-05 10:39:00,2024-03-05 14:34:00,0.0,0 days 03:55:00,235.00000000116407,GANGGUAN PORT PADA PERANGKAT SWITCH DI SISI LASTMILE  ACTION : PINDAH PORT,PINDAH PORT SWITCH,SCADA NON REDUNDANT,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,LASTMILE,UNKNOWN,GI: - | POP: - | KM: -,202403.xlsx,gangguan port pada perangkat switch di sisi lastmile action pindah port,,,,,,2024-03
RQTCQJ9Q,[UIP3BS - UPT MEDAN] GI PANGKALAN SUSU 275KV,990000320363741,IP VPN,1Mbps,2024-03-04 20:00:00,2024-03-05 14:49:00,929.0,0 days 03:20:00,199.99999999208376,GANGGUAN PUTUS KABEL FO DIJARAK 12 KM DARI POP GI PANGKALAN BRANDAN KE ARAH POP GI PANGKALAN SUSU ACTION : PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,NON SCADA,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: PANGKALAN BRANDAN | POP: GI PANGKALAN BRANDAN | KM: 12,202403.xlsx,gangguan putus kabel fo dijarak 12 km dari pop gi pangkalan brandan ke arah pop gi pangkalan susu action penyambungan kabel fo,PANGKALAN BRANDAN,GI PANGKALAN BRANDAN,12.0,GI PANGKALAN BRANDAN,Medium,2024-03
RQTCAFEJ,[UID SUMUT - UP2D] UP2D SUMUT - GH PALSABOLAS SIPIROK (SCADA),1000163259,METRONET,2Mbps,2024-03-06 14:53:00,2024-03-07 05:41:00,549.0,0 days 05:39:00,339.000000002794,"GANGGUAN PUTUS CORE DIJARAK 15,8 KM DARI POP SIDEMPUAN KEARAH LASTMILE ACTION : PENYAMBUNGAN CORE",PENYAMBUNGAN CORE,SCADA NON REDUNDANT,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: SIDEMPUAN | KM: 15.8,202403.xlsx,gangguan putus core dijarak 15 8 km dari pop sidempuan kearah lastmile action penyambungan core,,SIDEMPUAN,15.8,SIDEMPUAN,High,2024-03
